fenetre_jours,niveau_indice_nu_fin_rebond,niveau_indice_vt_fin_rebond,sous_participation_pts,niveau_indice_vt_fin_episode,niveau_plancher_indice_nu,niveau_plancher_indice_vt
20,100.000000,82.453038,17.546962,82.167245,70.000000,63.785751
60,100.000000,81.731669,18.268331,81.685978,70.000000,61.165234
