freq_rebal_jours,pnl
1,-0.23479238781513345
1,-2.915028994356561
1,-1.1813627537490987
1,-5.203929026209153
1,-0.5499766363485463
1,15.47081525762556
1,-0.49301417026579486
1,-0.19020568180629027
1,-0.9608689371371781
1,-6.838528276544608
1,9.01135768333161
1,-10.024111444332377
1,-0.2244102748500012
1,-1.3497614468694081
1,8.884964177585431
1,-2.9429003730092944
1,-2.1264579301304707
1,-13.939836186819193
1,16.144934170452828
1,-4.733436290636334
1,-3.711100521842468
1,17.740673754055635
1,-1.2730596032052262
1,12.328908007813197
1,18.924968129464162
1,4.51726038813235
1,22.20804211986595
1,10.766756445472708
1,15.289064932367438
1,-2.72471875103777
1,-7.245057120953319
1,-0.7660124449364076
1,-0.17891654913465516
1,-0.18317891511688345
1,0.10988444951513543
1,-1.8069470594786168
1,-4.701844908589862
1,-0.39853664031568314
1,-0.2631469383274663
1,-2.8495167962649646
1,7.842465747642322
1,9.71637676691779
1,14.175504889281314
1,-0.6609667866654263
1,-3.399178929637557
1,10.118462160313115
1,-0.036800089367773126
1,-1.3131494881208994
1,0.07390431949835374
1,-4.756918142616911
1,18.141215526522387
1,-0.2883483360973145
1,-2.1326716079512664
1,14.704627784811805
1,0.2511375018068094
1,-0.5199241915923807
1,-0.13431500529013363
1,-9.323743062343226
1,-3.0941491118237394
1,-0.2012608068589259
1,-8.98387394543073
1,7.760518393368514
1,15.183122772849401
1,-10.264405095641877
1,8.470320223541826
1,-0.10606189979635872
1,-20.101564593710407
1,-3.3318458170920735
1,17.02006244494531
1,-1.6064618926715752
1,3.7800350248763834
1,-1.8488449135500105
1,-0.4381572832536875
1,-1.6970901544943615
1,-3.7273540372874123
1,6.183269831482129
1,-4.693908207217149
1,-2.156378289453528
1,-2.161968847640651
1,-1.8043960636698841
1,12.310182163942628
1,-0.82454309928913
1,-0.5766950696371822
1,-1.7550991293506257
1,21.824782001161537
1,0.36499717965033085
1,-0.659359751956643
1,-1.770881909460087
1,-1.6359711954668512
1,-0.6135478260535621
1,19.1271780931299
1,-0.5155225622022215
1,-0.9126816215224949
1,-2.4871289811183885
1,11.200328647546733
1,-0.8030464132099837
1,22.19853456390281
1,-1.1377317632092172
1,16.3901307996515
1,0.13215573490140287
1,-5.1471726200222605
1,-7.570397281097968
1,-0.04728147540770067
1,7.0832010674963115
1,-2.7095170511484667
1,16.130373578774112
1,-2.387660963322915
1,-2.890295651732444
1,0.13676239865593232
1,17.928813513131374
1,-1.9858566441109673
1,35.236410004716504
1,-1.574516190349641
1,-0.16884617845664707
1,-0.8408687540600397
1,-2.256501150447235
1,-0.5488886195156937
1,-2.787212295923709
1,15.418170662652457
1,9.760842969213655
1,14.579666194961511
1,-0.683588478945552
1,11.448547312833043
1,-3.475986094067423
1,-2.0514029935329887
1,-1.0236547122525792
1,-1.1476275642065303
1,-1.5566104759191433
1,-1.0837457458932533
1,11.623496080115686
1,-3.424712931885324
1,-7.412299388516516
1,-3.735691420208795
1,-2.029394736651824
1,0.2552214210734576
1,-2.619811494166413
1,15.862668224937849
1,2.9251283307826412
1,-2.4225958865092565
1,-0.17859099433879067
1,-0.6336553268658776
1,-2.10182266323109
1,-2.381962308418963
1,5.2585004375886655
1,-0.3679935661279785
1,25.95570934261336
1,-2.043703631828464
1,-6.336535177626423
1,-3.7800020100766147
1,-8.882666866760545
1,21.76095618766651
1,-2.766035951975965
1,15.1852039663478
1,-1.0155422684742632
1,-0.3366653149359564
1,-1.816910281964951
1,-2.6390792612868808
1,-0.18122810797724753
1,-1.4240928294938726
1,-4.056678364380787
1,-0.2899636112117179
