annee,indice_sous_jacent,indice_vt,exposition_pct
4.630952,107.940579,116.758094,150.000000
4.634921,107.225866,115.592658,150.000000
4.638889,107.972994,116.795063,150.000000
4.642857,106.811780,114.905130,150.000000
4.646825,107.597943,116.168029,150.000000
4.650794,107.509963,116.019785,150.000000
4.654762,107.800650,116.484574,150.000000
4.658730,107.843320,116.547957,150.000000
4.662698,108.144527,117.030454,150.000000
4.666667,107.468763,115.927714,150.000000
4.670635,106.358924,114.126171,150.000000
4.674603,107.437364,115.856305,143.619719
4.678571,106.920015,115.050051,145.146072
4.682540,106.828685,114.902257,147.365534
4.686508,106.324188,114.097216,146.825662
4.690476,106.978750,115.123241,143.933738
4.694444,107.099467,115.305204,145.279960
4.698413,106.800308,114.832106,144.847451
4.702381,107.295231,115.597792,143.272616
4.706349,107.601231,116.065169,143.767602
4.710317,106.486548,114.331518,150.000000
4.714286,106.218148,113.893587,150.000000
4.718254,105.341078,112.477266,150.000000
4.722222,105.119905,112.117453,150.000000
4.726190,105.163169,112.181107,150.000000
4.730159,105.332216,112.446035,150.000000
4.734127,105.404959,112.556940,150.000000
4.738095,105.652431,112.947751,150.000000
4.742063,107.015460,115.127869,150.000000
4.746032,107.760473,116.324392,150.000000
4.750000,107.962493,116.645733,150.000000
4.753968,108.884768,118.134626,150.000000
4.757937,109.288995,118.786615,150.000000
4.761905,109.915371,119.801937,150.000000
4.765873,109.321548,118.825141,150.000000
4.769841,108.771452,117.922371,150.000000
4.773810,109.502085,119.104673,150.000000
4.777778,109.308458,118.782855,150.000000
4.781746,108.771629,117.901924,150.000000
4.785714,110.063720,119.996899,148.215027
4.789683,110.128450,120.095757,150.000000
4.793651,110.728105,121.070691,150.000000
4.797619,108.259731,117.016285,123.346427
4.801587,105.683667,113.579082,99.125198
4.805556,106.751821,114.717092,96.607786
4.809524,104.137230,112.003110,83.472727
4.813492,102.278637,110.336344,78.977852
4.817460,105.459320,113.048583,67.737444
4.821429,109.274537,115.822510,59.609570
4.825397,108.397616,115.273100,59.380710
4.829365,108.743904,115.496416,59.344935
4.833333,107.324288,114.606291,58.783198
4.837302,109.063435,115.702669,57.314295
4.841270,108.647946,115.454937,57.451320
4.845238,105.773933,113.705205,54.169318
4.849206,103.149361,112.182058,51.888342
4.853175,103.158092,112.192339,52.229637
4.857143,105.281008,113.403552,50.176080
4.861111,105.606866,113.585275,50.130775
4.865079,101.090791,111.155914,45.475981
4.869048,102.135308,111.684226,44.976939
4.873016,101.667631,111.460309,45.217366
4.876984,99.806224,110.543617,45.583957
4.880952,99.943849,110.619069,46.753953
4.884921,97.941276,109.588625,46.474925
4.888889,100.117486,110.726112,46.004151
4.892857,102.870589,112.132791,44.666214
4.896825,102.990536,112.197346,47.432508
4.900794,104.375420,112.918805,51.571267
4.904762,103.806324,112.606718,51.666466
4.908730,105.155594,113.368337,50.895608
4.912698,104.297992,112.903288,51.249876
4.916667,107.605058,114.743455,48.517860
4.920635,109.664933,115.815022,47.381850
4.924603,108.408008,115.192114,49.424678
4.928571,105.863140,113.861390,49.677456
4.932540,105.295463,113.563760,49.527839
4.936508,104.634787,113.216534,50.854817
4.940476,103.183780,112.423627,50.244176
4.944444,105.340511,113.609844,57.227642
4.948413,108.873962,115.795514,52.981572
4.952381,106.485627,114.455093,50.655184
4.956349,108.131655,115.356897,51.927113
4.960317,104.907278,113.576196,47.849295
4.964286,103.099365,112.645514,48.247292
4.968254,104.371608,113.321955,49.227772
4.972222,104.507483,113.400288,51.726906
4.976190,103.071049,112.599470,50.919651
4.980159,104.400493,113.344482,50.974756
4.984127,105.063812,113.717087,50.963145
4.988095,102.175333,112.129318,48.853468
4.992063,102.708082,112.420629,48.889531
4.996032,104.458227,113.362881,51.580223
5.000000,104.730713,113.520857,53.344051
